micro_hab_data_tbl_id,location_table_id,transect_code,fish_data_id,date,count,species,fl_mm,dist_to_bottom,depth,focal_velocity,velocity,surface_turbidity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,channel_geomorphic_unit,date_format_raw
29,11,6.4,12,2001-03-14,1,steelhead trout (wild),25,0.1,37,0.63999999,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
29,11,6.4,13,2001-03-14,50,chinook salmon,40,0.5,37,1.08,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
29,11,6.4,14,2001-03-14,6,chinook salmon,75,0.5,37,0.80000001,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
29,11,6.4,26,2001-03-14,10,chinook salmon,40,1.5,37,0.94,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
29,11,6.4,27,2001-03-14,20,chinook salmon,35,1.5,37,0.94,0.91,30,0,65,25,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
30,11,9.1,31,2001-03-14,35,steelhead trout (wild),25,1.5,16,0,0.18,0,0,80,20,0,0,0,90,10,0,0,0,50,50,0,glide margin,yyyy-mm-dd
30,11,9.1,32,2001-03-14,250,chinook salmon,35,1.5,16,0,0.18,0,0,80,20,0,0,0,90,10,0,0,0,50,50,0,glide margin,yyyy-mm-dd
31,11,9.2,,2001-03-14,0,,,,14,,1.62,0,0,0,85,15,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
32,11,9.3,,2001-03-14,0,,,,15,,1.47,10,0,0,70,30,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
33,11,9.4,15,2001-03-14,3,steelhead trout (wild),25,0.1,15,0.44,2.17,20,0,10,90,0,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
34,11,12.1,33,2001-03-14,10,steelhead trout (wild),25,1.5,3,0,0,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,glide margin,yyyy-mm-dd
34,11,12.1,50,2001-03-14,2,steelhead trout (wild),25,1,3,0,0,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,glide margin,yyyy-mm-dd
35,11,12.2,,2001-03-14,0,,,,7,,0.71,10,0,0,45,55,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
36,11,12.3,,2001-03-14,0,,,,9,,2.26,20,0,60,30,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
37,11,12.4,16,2001-03-14,8,chinook salmon,50,0.1,19,0.18000001,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
37,11,12.4,17,2001-03-14,15,chinook salmon,40,0.1,19,0.5,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
37,11,12.4,18,2001-03-14,2,steelhead trout (wild),25,0.1,19,0.5,1.01,30,0,40,60,0,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
38,11,15.1,34,2001-03-14,100,chinook salmon,35,2,28,0.51999998,0.37,10,0,60,20,20,0,0,90,10,0,0,0,100,0,0,glide margin,yyyy-mm-dd
39,11,15.2,,2001-03-14,0,,,,12,,0.67,10,0,30,60,10,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
40,11,15.3,,2001-03-14,0,,,,11,,1.44,10,0,25,60,15,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
41,11,15.4,51,2001-03-14,100,chinook salmon,35,1,9,0,1.6,20,0,30,60,10,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
42,11,18.1,38,2001-03-14,125,chinook salmon,45,1,11,0,0.44,0,0,90,0,10,0,0,70,15,,15,0,85,15,0,glide margin,yyyy-mm-dd
42,11,18.1,39,2001-03-14,10,steelhead trout (wild),25,1,11,0,0.44,0,0,90,0,10,0,0,70,15,,15,0,85,15,0,glide margin,yyyy-mm-dd
43,11,18.2,,2001-03-14,0,,,,12,,0.4,0,0,70,10,20,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
44,11,18.3,35,2001-03-14,150,chinook salmon,35,0.5,18,0.40000001,1,0,0,20,80,0,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
45,11,18.4,19,2001-03-14,5,chinook salmon,45,0.1,23,0.5,0.78,10,0,15,70,15,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
46,11,21.1,42,2001-03-14,5,steelhead trout (wild),25,1,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide margin,yyyy-mm-dd
46,11,21.1,43,2001-03-14,100,chinook salmon,35,1.5,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide margin,yyyy-mm-dd
46,11,21.1,44,2001-03-14,11,steelhead trout (wild),25,1.5,8,0,0.32,0,0,25,60,15,0,0,100,0,0,0,0,65,35,0,glide margin,yyyy-mm-dd
47,11,21.2,,2001-03-14,0,,,,13,,1.13,10,0,10,40,50,0,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
48,11,21.3,36,2001-03-14,100,chinook salmon,40,1,17,0.75,0.75,15,0,20,60,20,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
48,11,21.3,37,2001-03-14,150,chinook salmon,45,1,17,0.75,0.75,15,0,20,60,20,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
49,11,21.4,,2001-03-14,0,,,,18,,1.09,10,0,0,80,20,0,0,100,0,0,0,0,40,0,60,glide,yyyy-mm-dd
50,11,24.1,45,2001-03-14,75,chinook salmon,40,1.5,23,0.23999999,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide margin,yyyy-mm-dd
50,11,24.1,46,2001-03-14,45,chinook salmon,40,1.5,23,0.47,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide margin,yyyy-mm-dd
50,11,24.1,47,2001-03-14,4,chinook salmon,55,1.5,23,0.47,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide margin,yyyy-mm-dd
50,11,24.1,48,2001-03-14,50,chinook salmon,40,1,23,1.36,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide margin,yyyy-mm-dd
50,11,24.1,49,2001-03-14,2,steelhead trout (wild),25,1,23,1.36,0.37,0,0,30,30,40,0,0,80,0,0,0,20,0,30,70,glide margin,yyyy-mm-dd
51,11,24.2,,2001-03-14,0,,,,18,,0.88,0,0,50,0,50,0,0,100,0,0,0,0,50,0,50,glide,yyyy-mm-dd
52,11,24.3,,2001-03-14,0,,,,16,,1.06,10,0,30,30,40,0,0,100,0,0,0,0,100,0,0,glide,yyyy-mm-dd
53,11,24.4,20,2001-03-14,75,chinook salmon,45,0.5,13,0.37,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide,yyyy-mm-dd
53,11,24.4,40,2001-03-14,1,chinook salmon,30,1,13,1.05,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide,yyyy-mm-dd
53,11,24.4,41,2001-03-14,1,chinook salmon,35,1,13,0.98000002,1.88,10,0,0,85,15,0,0,90,0,0,10,0,100,0,0,glide,yyyy-mm-dd
55,12,0.1,,2001-03-15,0,,,,2,,0,0,0,10,70,20,0,0,50,0,0,50,0,100,0,0,glide margin,yyyy-mm-dd
56,12,0.2,,2001-03-15,0,,,,10,,0,0,0,0,10,80,0,10,50,0,0,50,0,100,0,0,glide margin,yyyy-mm-dd
57,12,0.3,,2001-03-15,0,,,,18,,0.2,0,0,0,25,50,25,0,30,10,0,60,0,100,0,0,glide margin,yyyy-mm-dd
58,12,0.4,,2001-03-15,0,,,,22,,0.33,0,0,0,50,25,25,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
59,12,3.1,,2001-03-15,0,,,,6,,0,0,0,0,60,40,0,0,60,30,0,10,0,100,0,0,glide margin,yyyy-mm-dd
60,12,3.2,,2001-03-15,0,,,,16,,0,0,0,0,10,20,70,0,40,50,0,10,0,100,0,0,glide margin,yyyy-mm-dd
61,12,3.3,,2001-03-15,0,,,,20,,0.19,0,0,0,25,50,25,0,90,0,0,10,0,100,0,0,glide margin,yyyy-mm-dd
62,12,3.4,,2001-03-15,0,,,,24,,0.34,0,0,0,60,25,15,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
63,12,6.1,52,2001-03-15,1,steelhead trout (wild),25,5,6,0,0,0,0,0,80,20,0,0,60,0,0,40,0,40,60,0,glide margin,yyyy-mm-dd
64,12,6.2,,2001-03-15,0,,,,16,,0,0,0,0,90,10,0,0,75,10,0,15,0,100,0,0,glide margin,yyyy-mm-dd
65,12,6.3,53,2001-03-15,20,chinook salmon,40,10,22,0,0,0,0,0,0,75,25,0,85,0,0,15,0,100,0,0,glide margin,yyyy-mm-dd
66,12,6.4,,2001-03-15,0,,,,30,,0.34,0,0,0,40,50,10,0,100,0,0,0,0,100,0,0,glide margin,yyyy-mm-dd
67,12,9.1,,2001-03-15,0,,,,11,,0,0,0,75,25,0,0,0,85,0,0,15,0,100,0,0,glide margin,yyyy-mm-dd
68,12,9.2,,2001-03-15,0,,,,22,,0,0,0,80,20,0,0,0,40,10,0,50,0,100,0,0,glide margin,yyyy-mm-dd
69,12,9.3,,2001-03-15,0,,,,33,,0,0,0,25,50,25,0,0,35,0,0,65,0,85,15,0,glide margin,yyyy-mm-dd
70,12,9.4,,2001-03-15,0,,,,43,,0,0,0,0,0,40,30,30,35,0,0,65,0,100,0,0,glide margin,yyyy-mm-dd
71,12,12.1,,2001-03-15,0,,,,6,,0,0,0,75,25,0,0,0,25,0,0,75,0,70,15,15,glide margin,yyyy-mm-dd
72,12,12.2,,2001-03-15,0,,,,24,,0,0,0,25,75,0,0,0,0,10,10,80,0,90,10,0,glide margin,yyyy-mm-dd
73,12,12.3,,2001-03-15,0,,,,43,,0,0,0,30,30,40,0,0,0,5,10,85,0,90,0,10,glide margin,yyyy-mm-dd
74,12,12.4,54,2001-03-15,350,chinook salmon,40,50,50,0.2,0,0,0,20,70,10,0,0,0,70,0,30,0,30,0,70,glide margin,yyyy-mm-dd
75,12,15.1,,2001-03-15,0,,,,14,,0,0,20,80,0,0,0,0,40,20,0,40,0,100,0,0,glide margin,yyyy-mm-dd
76,12,15.2,55,2001-03-15,300,chinook salmon,40,20,41,0,0,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,glide margin,yyyy-mm-dd
76,12,15.2,56,2001-03-15,1,steelhead trout (wild),25,20,41,0,0,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,glide margin,yyyy-mm-dd
77,12,15.3,,2001-03-15,0,,,,51,,0.41,0,0,0,0,70,20,10,0,20,10,70,0,90,10,0,glide margin,yyyy-mm-dd
78,12,15.4,,2001-03-15,0,,,,67,,0.39,0,0,0,0,10,75,15,0,20,20,60,0,100,0,0,glide margin,yyyy-mm-dd
79,13,0.1,,2001-08-20,0,,,,9,,0.56,0,0,0,100,0,0,0,80,0,0,20,0,100,0,0,riffle margin,yyyy-mm-dd
80,13,0.2,,2001-08-20,0,,,,17,,1.08,0,0,0,10,0,0,90,80,10,0,10,0,100,0,0,riffle margin,yyyy-mm-dd
81,13,0.3,,2001-08-20,0,,,,27,,0.51,0,0,0,10,10,0,80,90,10,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
82,13,0.4,,2001-08-20,0,,,,25,,0.32,0,0,0,10,0,20,70,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
83,13,3.1,,2001-08-20,0,,,,28,,0,0,0,90,10,0,0,0,75,0,0,25,0,100,0,0,riffle margin,yyyy-mm-dd
84,13,3.2,,2001-08-20,0,,,,33,,0.5,0,0,0,0,90,10,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
85,13,3.3,,2001-08-20,0,,,,34,,0.8,0,0,0,0,15,10,75,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
86,13,3.4,,2001-08-20,0,,,,35,,0.37,0,0,0,0,25,75,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
87,13,6.1,,2001-08-20,0,,,,23,,0,0,0,50,50,0,0,0,55,15,0,30,0,100,0,0,riffle margin,yyyy-mm-dd
88,13,6.2,,2001-08-20,0,,,,38,,0.91,0,0,0,0,80,20,0,90,10,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
89,13,6.3,,2001-08-20,0,,,,23,,0.88,0,0,0,10,70,20,0,90,10,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
90,13,9.1,,2001-08-20,0,,,,17,,0,0,0,10,0,0,0,90,60,10,0,30,0,100,0,0,riffle margin,yyyy-mm-dd
91,13,9.2,,2001-08-20,0,,,,46,,0.77,0,0,40,0,0,60,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
92,13,9.3,,2001-08-20,0,,,,46,,0.78,10,0,0,20,80,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
93,13,9.4,,2001-08-20,0,,,,54,,0.5,10,0,0,60,20,20,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
94,13,12.1,,2001-08-20,0,,,,35,,0,0,0,40,10,0,0,50,75,25,0,0,0,25,0,75,riffle margin,yyyy-mm-dd
95,13,12.2,,2001-08-20,0,,,,46,,0.88,0,0,0,0,90,10,0,100,0,0,0,0,10,50,40,riffle margin,yyyy-mm-dd
96,13,12.3,,2001-08-20,0,,,,53,,0.85,0,0,0,25,25,25,25,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
97,13,12.4,,2001-08-20,0,,,,43,,0.5,0,0,0,0,50,0,50,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
98,13,15.1,,,0,,,,59,,0.54,0,0,0,50,0,50,0,30,10,0,10,50,100,0,0,riffle margin,yyyy-mm-dd
99,13,15.2,,2001-08-20,0,,,,60,,0.94,10,0,0,0,30,20,50,90,0,0,10,0,100,0,0,riffle margin,yyyy-mm-dd
100,13,15.3,,2001-08-20,0,,,,61,,0.6,10,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
101,13,15.4,,2001-08-20,0,,,,63,,0.67,10,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
102,13,18.1,,2001-08-20,0,,,,39,,0,0,0,50,0,0,0,50,80,10,0,10,0,100,0,0,riffle margin,yyyy-mm-dd
103,13,18.2,,2001-08-20,0,,,,54,,0.29,0,0,0,25,0,25,50,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
104,13,18.3,,2001-08-20,0,,,,64,,1.06,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
105,13,18.4,,2001-08-20,0,,,,65,,0.91,10,0,0,75,25,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
106,13,21.1,,2001-08-20,0,,,,28,,3.47,0,0,0,100,0,0,0,75,25,0,0,0,0,80,20,riffle margin,yyyy-mm-dd
107,13,21.2,,2001-08-20,0,,,,27,,2.45,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
108,13,21.3,,2001-08-20,0,,,,35,,2.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
109,13,21.4,,2001-08-20,0,,,,42,,2.55,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
110,13,24.1,,2001-08-20,0,,,,60,,0.68,0,0,0,0,50,0,50,75,25,0,0,0,50,50,0,riffle,yyyy-mm-dd
111,13,24.2,,2001-08-20,0,,,,62,,2.21,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
112,13,24.3,,2001-08-20,0,,,,30,,2.93,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
113,13,24.4,,2001-08-20,0,,,,25,,3.97,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
114,14,0.1,,2001-08-20,0,,,,10,,0.27,0,0,100,0,0,0,0,90,0,0,10,0,100,0,0,riffle margin,yyyy-mm-dd
115,14,0.2,,2001-08-20,0,,,,24,,0.77,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
116,14,0.3,59,2001-08-20,1,steelhead trout (wild),60,0.039999999,27,1.98,1,0,0,0,90,10,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
117,14,0.4,,2001-08-20,0,,,,20,,1.98,0,0,75,0,25,0,0,90,0,0,10,0,100,0,0,riffle,yyyy-mm-dd
118,14,3.1,,2001-08-20,0,,,,7,,0,0,50,50,0,0,0,0,40,10,0,50,0,100,0,0,riffle margin,yyyy-mm-dd
119,14,3.2,,2001-08-20,0,,,,18,,0.41,0,50,50,0,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
120,14,3.3,,2001-08-20,0,,,,30,,2.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
121,14,3.4,,2001-08-20,0,,,,20,,1.32,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle,yyyy-mm-dd
122,14,6.1,,2001-08-20,0,,,,8,,1.13,0,0,0,100,0,0,0,90,10,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
123,14,6.2,,2001-08-20,0,,,,9,,0.56,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
124,14,6.3,,2001-08-20,0,,,,8,,1.88,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
125,14,6.4,,2001-08-20,0,,,,5,,2.5,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
126,14,9.1,,2001-08-20,0,,,,9,,0.23,0,0,0,100,0,0,0,25,25,0,50,0,90,10,0,riffle margin,yyyy-mm-dd
127,14,9.2,,2001-08-20,0,,,,4,,0.62,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
128,14,9.3,,2001-08-20,0,,,,3,,0.68,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
129,14,9.4,,2001-08-20,0,,,,2,,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
130,14,12.1,,2001-08-20,0,,,,9,,0,0,100,0,0,0,0,0,10,0,10,80,0,100,0,0,riffle margin,yyyy-mm-dd
131,14,12.2,,2001-08-20,0,,,,14,,0.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
132,14,12.3,,2001-08-20,0,,,,17,,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
133,14,12.4,60,2001-08-20,10,steelhead trout (wild),65,0.039999999,24,0.75,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
133,14,12.4,61,2001-08-20,7,chinook salmon,80,0.039999999,24,0.75,0.75,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
134,14,15.1,,2001-08-20,0,,,,7,,0,0,0,90,10,0,0,0,75,25,0,0,0,50,50,0,riffle margin,yyyy-mm-dd
135,14,15.2,,2001-08-20,0,,,,12,,0.68,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
136,14,15.3,,2001-08-20,0,,,,9,,1.5,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
137,14,15.4,,2001-08-20,0,,,,11,,2.08,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
138,14,18.1,,2001-08-20,0,,,,2,,0,0,50,0,50,0,0,0,20,0,0,80,0,80,20,0,riffle margin,yyyy-mm-dd
139,14,18.2,,2001-08-20,0,,,,3,,0,0,50,0,50,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
140,14,18.3,,2001-08-20,0,,,,6,,0.24,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
141,14,18.4,62,2001-08-20,3,steelhead trout (wild),50,0.050000001,20,1.27,1.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
141,14,18.4,63,2001-08-20,1,steelhead trout (wild),80,0.039999999,20,1.27,1.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
142,14,21.1,64,2001-08-20,1,steelhead trout (wild),45,0.050000001,21,0,0,0,25,0,75,0,0,0,100,0,0,0,0,70,30,0,riffle margin,yyyy-mm-dd
143,14,21.2,,2001-08-20,0,,,,16,,0.27,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
144,14,21.3,,2001-08-20,0,,,,12,,0.44,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
145,14,21.4,,2001-08-20,0,,,,11,,0.47,0,0,25,75,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
146,14,24.1,,2001-08-20,0,,,,8,,0.6,0,0,75,25,0,0,0,90,10,0,0,0,50,50,0,riffle margin,yyyy-mm-dd
147,14,24.2,,2001-08-20,0,,,,9,,0.47,0,0,50,50,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
148,14,24.3,,2001-08-20,0,,,,18,,0.8,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
149,14,24.4,,2001-08-20,0,,,,17,,1.06,0,0,0,100,0,0,0,90,10,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
150,15,0.1,,2001-08-20,0,,,,13,,0.67,0,0,0,0,90,10,0,80,0,0,20,0,100,0,0,riffle margin,yyyy-mm-dd
151,15,0.2,,2001-08-20,0,,,,14,,1.13,0,0,0,0,75,25,0,75,25,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
152,15,0.3,,2001-08-20,0,,,,16,,1.54,0,0,0,0,80,20,0,90,0,0,10,0,100,0,0,riffle margin,yyyy-mm-dd
153,15,0.4,,2001-08-20,0,,,,15,,1.47,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
154,15,3.1,,2001-08-20,0,,,,11,,0.56,0,0,0,0,85,15,0,75,0,0,25,0,100,0,0,riffle margin,yyyy-mm-dd
155,15,3.2,,2001-08-20,0,,,,14,,0.37,0,0,0,0,90,10,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
156,15,3.3,,2001-08-20,0,,,,14,,1.32,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
157,15,3.4,,2001-08-20,0,,,,23,,1.5,0,0,0,0,80,20,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
158,15,6.1,,2001-08-20,0,,,,13,,0,0,0,0,0,100,0,0,75,0,0,25,0,100,0,0,riffle margin,yyyy-mm-dd
159,15,6.2,,2001-08-20,0,,,,20,,0.44,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
160,15,6.3,,2001-08-20,0,,,,30,,1.81,10,0,0,10,90,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
161,15,6.4,,2001-08-20,0,,,,36,,0.93,10,0,0,0,60,40,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
162,15,9.1,,2001-08-20,0,,,,10,,1.2,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
163,15,9.2,,2001-08-20,0,,,,23,,1.37,10,0,0,0,80,10,10,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
164,15,9.3,,2001-08-20,0,,,,26,,1.83,10,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
165,15,9.4,,2001-08-20,0,,,,28,,1.73,10,0,0,0,100,0,0,100,0,0,0,0,100,0,0,riffle margin,yyyy-mm-dd
166,15,12.1,,2001-08-20,0,,,,13,,0.78,0,0,0,0,100,0,0,85,0,0,15,0,100,0,0,riffle margin,yyyy-mm-dd
